salary,count,rank
70656,1,Clerk IV
86378.802507836991,319,Police Officer / Field Training Officer
128136,7,Assistant Deputy Superintendent
98619,4,Police Officer Legal Officer I
115644,1,Sergeant Per Arbitration
132876,1,Deputy Director
130332.917647058824,85,Captain of Police
89883,2,Remote Terminal Operator
80604.932429378531,13275,Police Officer
62742,1,Unknown
159288,1,Superintendent of Police
53820,2,Police Communications Operator I
169707.3,20,Chief
87900.578680203046,197,Police Officer Assigned Evidence Technician
131808,2,Director Of Human Resources
162684,1,Deputy Chief Administrator
150462,13,Deputy Superintendent
82977.818181818182,22,Gang Crimes
108030,3,Sergeant
81252,1,Principal Stenographer
98618.571428571429,7,F/A Id Tech I
92557.5,4,Police Officer Assigned as Helicopter Pilot
117954,1,Police Officer Legal Officer II
115504.004376367615,457,Lieutenant of Police
91590.782608695652,46,Police Officer Assigned Canine Handler
112254,1,Explosives Tech II
84522.9,40,Police Agent
146623.571428571429,42,Deputy Chief
58347,2,Detention Aide
85750.56,25,Police Officer (Per Arbitration Award)
90024,2,Police Dispatcher
72810,1,SR Evidence Technician
91404,1,SR Typist
93642.521739130435,23,Evidence Tech
98976.210526315789,57,Police Forensic Investigator I
93937.862068965517,58,Police Officer / Explosives Detective Canine Handler
107382,1,Police Forensic Investigator II
91724.487804878049,41,Police Officer / Marine Officer
55764,1,Police Aide
90024,1,Lab Tech III
121728,1,Commander Of General Support
85302,3,Crossing Guard
89646,3,Police Officer Assigned Supervisor Latent Fingerprint Examiner
84139.142857142857,63,Police Officer / Mounted Patrol Officer
168487.2,5,First Deputy Superintendent
90769.411764705882,17,Police Officer Assigned Latent Fingerprint Examiner
83706,1,Personal Computer Operator II
145476,1,Director of CAPS
68208,2,Principal Typist
99888,1,Sergeant Assigned Security Specialist
83604,1,Secretary
70563,2,Police Cadet
99115.2,40,Explosives Tech I
100232.370324189526,2406,Sergeant of Police
89361.230769230769,52,Police Officer Assigned Traffic Specialist
148410,2,Administrative Assistant I
83706,1,SR Public Safety Aide
131808,2,Coordinator Special Events
89054.25,8,Police Technician
85165.5,4,Police Dispatcher Aide
188316,1,Assistant Superintendent
92960.789498806683,2095,Police Officer as Detective
133384.333333333333,108,Commander
100784,3,Detective
102978,1,Police Officer Assigned Substance Abuse Counselor
110622,2,Explosives Tech III
85091.04,75,Police Officer Assign Youth Off
86130,1,Editorial Assistant
169228,3,Superintendent's Chief Of Staff
92230.702702702703,37,Police Officer Assigned Security Specialist
