major_award_count,allegation_count,rank
0,10,Detective
0,24,Detective
1,11,Police Agent
1,10,Police Agent
1,8,Police Agent
1,8,Police Agent
1,4,Police Agent
1,6,Police Technician
1,5,Police Agent
1,5,Police Agent
1,3,Police Agent
0,0,Police Officer
1,10,Police Agent
0,7,Detective
1,10,Police Agent
1,4,Police Agent
1,2,Police Agent
1,1,Police Agent
1,0,Police Agent
1,0,Police Agent
1,0,Police Agent
1,0,Police Agent
1,0,Police Agent
1,0,Police Agent
1,0,Police Agent
0,22,Assistant Superintendent
1,0,Police Agent
1,0,Police Agent
1,0,Police Agent
0,5,Police Agent
0,7,Police Agent
0,2,Extradition Officer
0,1,Police Technician
0,0,Police Technician
0,0,Police Artist
0,0,Police Agent
0,0,Director Of Records
0,0,Police Officer
0,0,Police Officer / Field Training Officer
0,12,Police Officer / Field Training Officer
0,56,Police Officer / Field Training Officer
1,7,Police Officer / Field Training Officer
1,3,Police Officer / Field Training Officer
1,2,Police Officer / Field Training Officer
0,45,Police Officer / Field Training Officer
0,43,Police Officer / Field Training Officer
0,38,Police Officer / Field Training Officer
0,2,Police Officer / Field Training Officer
0,26,Police Officer / Field Training Officer
0,38,Police Officer / Field Training Officer
0,0,Lieutenant of Police
0,10,Police Officer / Field Training Officer
1,24,Police Officer / Field Training Officer
0,14,Police Officer / Field Training Officer
1,72,Police Officer / Field Training Officer
1,14,Police Officer / Field Training Officer
0,15,Police Officer / Field Training Officer
0,11,Police Officer / Field Training Officer
0,1,Police Officer / Field Training Officer
0,3,Police Officer / Field Training Officer
0,29,Police Officer / Field Training Officer
0,56,Police Officer / Field Training Officer
0,10,Police Officer / Field Training Officer
0,5,Police Officer / Field Training Officer
1,62,Police Officer / Field Training Officer
1,17,Police Officer / Field Training Officer
0,2,Police Officer / Field Training Officer
0,6,Police Officer / Field Training Officer
0,1,Police Officer / Field Training Officer
1,20,Police Officer / Field Training Officer
0,6,Police Officer / Field Training Officer
0,12,Police Officer / Field Training Officer
0,2,Police Officer / Field Training Officer
0,11,Police Officer / Field Training Officer
1,1,Police Officer / Field Training Officer
0,1,Police Officer / Field Training Officer
0,0,Police Officer / Field Training Officer
0,0,Police Officer / Field Training Officer
1,13,Police Officer / Field Training Officer
1,9,Police Officer / Field Training Officer
0,17,Police Officer / Field Training Officer
0,13,Police Officer / Field Training Officer
0,90,Police Officer / Field Training Officer
0,33,Police Officer / Field Training Officer
0,31,Police Officer / Field Training Officer
0,10,Police Officer / Field Training Officer
0,15,Police Officer / Field Training Officer
0,57,Police Officer / Field Training Officer
0,4,Police Officer / Field Training Officer
0,4,Police Officer / Field Training Officer
0,0,Police Officer / Field Training Officer
0,18,Police Officer / Field Training Officer
0,3,Police Officer / Field Training Officer
0,8,Police Officer / Field Training Officer
0,1,Police Officer / Field Training Officer
0,18,Police Officer / Field Training Officer
0,31,Police Officer / Field Training Officer
0,1,Police Officer / Field Training Officer
0,17,Police Officer / Field Training Officer
0,11,Police Officer / Field Training Officer
0,10,Police Officer / Field Training Officer
0,1,Police Officer / Field Training Officer
0,0,Police Officer / Field Training Officer
