salary,sum,rank
70656,16,Clerk IV
86378.802507836991,4135,Police Officer / Field Training Officer
128136,21,Assistant Deputy Superintendent
98619,17,Police Officer Legal Officer I
115644,12,Sergeant Per Arbitration
132876,36,Deputy Director
130332.917647058824,1388,Captain of Police
89883,30,Remote Terminal Operator
80604.932429378531,131802,Police Officer
62742,5,Unknown
159288,5,Superintendent of Police
53820,3,Police Communications Operator I
169707.3,291,Chief
87900.578680203046,2142,Police Officer Assigned Evidence Technician
131808,5,Director Of Human Resources
162684,14,Deputy Chief Administrator
150462,48,Deputy Superintendent
82977.818181818182,355,Gang Crimes
108030,46,Sergeant
81252,0,Principal Stenographer
98618.571428571429,31,F/A Id Tech I
92557.5,35,Police Officer Assigned as Helicopter Pilot
117954,3,Police Officer Legal Officer II
115504.004376367615,8131,Lieutenant of Police
91590.782608695652,702,Police Officer Assigned Canine Handler
112254,5,Explosives Tech II
84522.9,218,Police Agent
146623.571428571429,472,Deputy Chief
58347,1,Detention Aide
85750.56,249,Police Officer (Per Arbitration Award)
90024,32,Police Dispatcher
72810,3,SR Evidence Technician
91404,6,SR Typist
93642.521739130435,236,Evidence Tech
98976.210526315789,308,Police Forensic Investigator I
93937.862068965517,812,Police Officer / Explosives Detective Canine Handler
107382,3,Police Forensic Investigator II
91724.487804878049,422,Police Officer / Marine Officer
55764,3,Police Aide
90024,4,Lab Tech III
121728,2,Commander Of General Support
85302,32,Crossing Guard
89646,15,Police Officer Assigned Supervisor Latent Fingerprint Examiner
84139.142857142857,561,Police Officer / Mounted Patrol Officer
168487.2,72,First Deputy Superintendent
90769.411764705882,70,Police Officer Assigned Latent Fingerprint Examiner
83706,10,Personal Computer Operator II
145476,95,Director of CAPS
68208,9,Principal Typist
99888,10,Sergeant Assigned Security Specialist
83604,0,Secretary
70563,0,Police Cadet
99115.2,447,Explosives Tech I
100232.370324189526,37540,Sergeant of Police
89361.230769230769,508,Police Officer Assigned Traffic Specialist
148410,11,Administrative Assistant I
83706,43,SR Public Safety Aide
131808,11,Coordinator Special Events
89054.25,28,Police Technician
85165.5,60,Police Dispatcher Aide
188316,22,Assistant Superintendent
92960.789498806683,26340,Police Officer as Detective
133384.333333333333,1365,Commander
100784,41,Detective
102978,4,Police Officer Assigned Substance Abuse Counselor
110622,10,Explosives Tech III
85091.04,675,Police Officer Assign Youth Off
86130,0,Editorial Assistant
169228,1,Superintendent's Chief Of Staff
92230.702702702703,246,Police Officer Assigned Security Specialist
