salary,count,rank
53820,0,Police Communications Operator I
55764,44.1062,Police Aide
62742,46.2273,Unknown
68208,28.34175,Principal Typist
70656,67.7237,Clerk IV
72810,0,SR Evidence Technician
80604.932429378531,49.3398735589725969,Police Officer
81252,0,Principal Stenographer
82977.818181818182,47.2393909090909091,Gang Crimes
83604,0,Secretary
83706,41.0137,Personal Computer Operator II
83706,77.3767,SR Public Safety Aide
84139.142857142857,26.9135396825396825,Police Officer / Mounted Patrol Officer
84522.9,13.3692975,Police Agent
85091.04,22.6865946666666667,Police Officer Assign Youth Off
85165.5,34.208225,Police Dispatcher Aide
85302,54.11875,Crossing Guard
85750.56,18.839848,Police Officer (Per Arbitration Award)
86130,0,Editorial Assistant
86378.802507836991,59.5478938511326861,Police Officer / Field Training Officer
87900.578680203046,39.1359314720812183,Police Officer Assigned Evidence Technician
89054.25,15.787025,Police Technician
89361.230769230769,41.1885461538461538,Police Officer Assigned Traffic Specialist
89646,13.8379666666666667,Police Officer Assigned Supervisor Latent Fingerprint Examiner
89883,20.75695,Remote Terminal Operator
90024,62.6669,Police Dispatcher
90024,35.6089,Lab Tech III
90769.411764705882,16.5018647058823529,Police Officer Assigned Latent Fingerprint Examiner
91404,26.6687,SR Typist
91590.782608695652,48.4587173913043478,Police Officer Assigned Canine Handler
91724.487804878049,40.9780243902439024,Police Officer / Marine Officer
92230.702702702703,31.8382540540540541,Police Officer Assigned Security Specialist
92557.5,52.26105,Police Officer Assigned as Helicopter Pilot
92960.789498806683,48.0150594272076372,Police Officer as Detective
93642.521739130435,65.862804347826087,Evidence Tech
93937.862068965517,47.3239293103448276,Police Officer / Explosives Detective Canine Handler
98618.571428571429,4.1752714285714286,F/A Id Tech I
98619,0,Police Officer Legal Officer I
98976.210526315789,13.2333561403508772,Police Forensic Investigator I
99115.2,30.6531475,Explosives Tech I
99888,38.9559,Sergeant Assigned Security Specialist
100232.370324189526,56.6196327650727651,Sergeant of Police
100784,59.4661333333333333,Detective
102978,0,Police Officer Assigned Substance Abuse Counselor
107382,39.0933,Police Forensic Investigator II
108030,65.0754,Sergeant
110622,14.56145,Explosives Tech III
112254,29.0681,Explosives Tech II
115504.004376367615,51.2968352297592998,Lieutenant of Police
115644,33.8701,Sergeant Per Arbitration
117954,33.9189,Police Officer Legal Officer II
121728,0,Commander Of General Support
128136,13.6807428571428571,Assistant Deputy Superintendent
130332.917647058824,43.0807529411764706,Captain of Police
131808,23.2008,Coordinator Special Events
131808,0,Director Of Human Resources
132876,95.7794,Deputy Director
133384.333333333333,36.1624925925925926,Commander
145476,99.6014,Director of CAPS
146623.571428571429,32.1809,Deputy Chief
148410,13.2135,Administrative Assistant I
150462,11.5253769230769231,Deputy Superintendent
159288,0,Superintendent of Police
162684,24.118,Deputy Chief Administrator
168487.2,31.19836,First Deputy Superintendent
169228,16.4498333333333333,Superintendent's Chief Of Staff
169707.3,30.256855,Chief
188316,27.938,Assistant Superintendent
