count,year,month
1,1967,10
1,1969,1
1,1970,8
1,1970,9
2,1970,10
2,1971,2
2,1971,4
1,1971,8
2,1971,12
1,1972,2
1,1977,6
1,1978,7
1,1978,11
1,1979,2
1,1979,5
2,1979,6
3,1979,7
2,1979,8
4,1979,10
2,1980,2
1,1980,3
7,1980,4
9,1980,5
2,1980,6
7,1980,7
4,1980,8
4,1980,9
7,1980,10
1,1980,11
5,1980,12
1,1981,2
3,1981,4
2,1981,5
7,1981,7
1,1981,8
16,1981,9
2,1981,10
6,1981,11
2,1981,12
7,1982,1
8,1982,2
6,1982,3
2,1982,4
2,1982,5
10,1982,6
3,1982,7
3,1982,8
5,1982,9
10,1982,10
11,1982,11
11,1982,12
2,1983,1
3,1983,2
1,1983,3
4,1983,4
11,1983,5
17,1983,6
22,1983,7
24,1983,8
39,1983,9
13,1983,10
19,1983,11
14,1983,12
51,1984,1
26,1984,2
21,1984,3
33,1984,4
18,1984,5
28,1984,6
31,1984,7
24,1984,8
49,1984,9
44,1984,10
52,1984,11
42,1984,12
67,1985,1
38,1985,2
23,1985,3
51,1985,4
15,1985,5
19,1985,6
20,1985,7
41,1985,8
30,1985,9
58,1985,10
11,1985,11
54,1985,12
62,1986,1
24,1986,2
67,1986,3
41,1986,4
38,1986,5
53,1986,6
57,1986,7
47,1986,8
42,1986,9
59,1986,10
26,1986,11
57,1986,12
40,1987,1
32,1987,2
46,1987,3
39,1987,4
58,1987,5
80,1987,6
81,1987,7
33,1987,8
69,1987,9
32,1987,10
50,1987,11
38,1987,12
29,1988,1
36,1988,2
33,1988,3
71,1988,4
98,1988,5
76,1988,6
44,1988,7
81,1988,8
17,1988,9
53,1988,10
45,1988,11
38,1988,12
41,1989,1
51,1989,2
24,1989,3
74,1989,4
50,1989,5
27,1989,6
30,1989,7
61,1989,8
955,1989,9
1082,1989,10
757,1989,11
748,1989,12
253,1990,1
29,1990,2
59,1990,3
39,1990,4
20,1990,5
46,1990,6
33,1990,7
48,1990,8
32,1990,9
977,1990,10
981,1990,11
937,1990,12
917,1991,1
893,1991,2
843,1991,3
986,1991,4
971,1991,5
942,1991,6
1146,1991,7
1160,1991,8
1080,1991,9
959,1991,10
936,1991,11
739,1991,12
782,1992,1
797,1992,2
797,1992,3
840,1992,4
785,1992,5
843,1992,6
997,1992,7
48,1992,8
942,1992,9
981,1992,10
804,1992,11
887,1992,12
879,1993,1
932,1993,2
887,1993,3
851,1993,4
773,1993,5
961,1993,6
1076,1993,7
1038,1993,8
958,1993,9
911,1993,10
18,1993,11
824,1993,12
833,1994,1
902,1994,2
948,1994,3
876,1994,4
903,1994,5
1092,1994,6
963,1994,7
1126,1994,8
966,1994,9
867,1994,10
806,1994,11
844,1994,12
781,1995,1
771,1995,2
925,1995,3
851,1995,4
1001,1995,5
988,1995,6
923,1995,7
1225,1995,8
882,1995,9
985,1995,10
920,1995,11
885,1995,12
1010,1996,1
954,1996,2
916,1996,3
941,1996,4
1008,1996,5
1002,1996,6
1106,1996,7
1162,1996,8
1120,1996,9
1034,1996,10
830,1996,11
965,1996,12
1289,1997,1
1051,1997,2
1051,1997,3
907,1997,4
893,1997,5
1027,1997,6
1043,1997,7
1025,1997,8
981,1997,9
1057,1997,10
718,1997,11
813,1997,12
782,1998,1
857,1998,2
814,1998,3
815,1998,4
880,1998,5
887,1998,6
993,1998,7
874,1998,8
886,1998,9
868,1998,10
