gender,salary
M,106068
M,50538
M,53136
M,61566
M,66924
M,68262
M,68262
M,68262
M,73164
M,74628
M,78012
M,78012
M,82788
M,83616
M,94524
M,75996
M,87198
M,151896
M,154932
M,154932
M,154932
M,154932
M,162684
M,78450
M,80022
M,80022
M,80022
M,91446
M,104742
M,62214
M,63456
M,63456
M,70062
M,74946
M,76446
M,76446
M,76446
M,81924
M,86508
M,87372
M,87372
M,92718
M,93648
M,99978
M,62742
M,62742
M,69270
M,74328
M,75816
M,82008
M,87888
M,92268
M,93192
M,93192
M,98898
M,99888
M,74946
M,74946
M,82746
M,85644
M,87354
M,62214
M,70488
M,70488
M,80544
M,84876
M,84876
M,84876
M,90960
M,92778
M,111078
M,62742
M,47808
M,50538
M,58668
M,63720
M,141888
M,100980
M,61512
M,121464
M,68262
M,68262
M,68262
M,73164
M,74628
M,78012
M,78012
M,82788
M,83616
M,86142
M,90024
M,71790
M,76266
M,66552
M,67884
M,75102
M,88578
M,90348
M,90348
M,90348
M,96828
M,101958
M,102978
M,102978
M,109278
M,65292
M,69684
M,75510
M,80016
M,53136
M,55764
M,64662
M,66924
M,68262
M,68262
M,68262
M,75726
M,77238
M,78012
M,78012
M,82788
M,86520
M,89130
M,90024
M,75996
M,77514
M,77514
M,77514
M,88578
M,93276
M,93276
M,93276
M,99960
M,101958
M,52788
M,57744
M,61932
M,64992
M,68262
M,73164
M,74628
M,75372
M,75372
M,82788
M,83616
M,86142
M,87006
M,66552
M,67884
M,67884
M,82008
M,62742
M,62742
M,69270
M,74328
M,75816
M,75816
M,75816
M,36984
M,81252
M,85278
M,86130
M,86130
M,91404
M,92316
M,95106
M,96060
M,60600
M,60600
M,66906
M,69270
M,73116
M,73116
M,73116
M,78360
M,79926
M,83706
M,83706
M,88830
M,89718
M,92430
M,93354
M,73476
M,74946
M,74946
M,81126
M,60600
M,75102
M,85818
M,87534
M,87534
M,87534
M,96828
M,98766
M,99756
M,99756
M,105864
M,110370
M,111474
M,58572
M,60600
M,66906
M,69270
M,70656
M,70656
M,69264
M,69264
M,76476
M,79152
M,80736
M,80736
M,73632
M,75102
M,75102
M,75102
M,85818
M,90348
M,90348
M,90348
M,96828
M,98766
M,50538
M,61566
M,66924
M,68262
M,68262
M,68262
M,73164
M,74628
M,78012
M,78012
M,82788
M,83616
M,86142
M,90024
M,52788
M,59412
M,66006
M,36984
M,57744
M,61932
M,64992
M,68262
M,73164
M,74628
M,75372
M,75372
M,82788
M,83616
M,86142
M,87006
M,71382
M,74946
M,74946
M,58572
M,58572
M,66906
M,69270
M,70656
M,70656
M,70656
M,78360
M,79926
M,80724
M,80724
M,85662
M,89718
M,92430
M,93354
M,58572
M,58572
M,66906
M,69270
M,70656
M,70656
M,70656
M,83916
M,84756
M,84756
M,89946
M,94236
M,97080
M,98052
M,71382
M,72810
M,72810
M,72810
M,85818
M,87534
M,87534
M,87534
M,93816
