salary,last_unit_id
101442,17
111474,215
76446,194
98184,218
61518,26
87048,21
99444,17
70488,152
90540,117
90432,93
99756,215
63456,204
104628,35
97212,35
82152,7
90540,8
70296,20
74946,18
70488,218
74178,5
82152,107
79134,18
99756,17
65868,12
79134,9
70296,225
101442,10
76764,35
85818,50
84876,14
148356,215
188316,225
170112,7
63456,25
65646,5
72480,142
80400,19
79134,25
61566,9
65646,182
70488,30
90456,2
68166,20
96648,19
93588,18
74946,83
65646,25
99756,16
72726,15
101442,14
96648,221
96084,12
67884,11
74946,11
74946,11
99444,11
71700,7
93648,2
71700,180
74628,35
90432,2
72726,25
84876,5
67884,225
90348,35
105864,31
99756,11
65646,15
84018,11
98184,21
87534,14
82152,10
70488,5
101442,19
70488,8
93648,179
74178,18
96648,221
71700,133
63456,115
80544,138
72516,105
93708,80
93708,3
64662,225
80400,221
73116,208
82152,221
97212,200
102978,170
102564,134
71700,80
90960,45
97044,31
58572,30
76446,30
87534,30
58572,8
93648,24
104628,18
65646,17
107988,17
71700,16
68262,13
70260,12
73968,10
90846,8
74178,6
90540,6
70488,145
77238,3
58572,3
84876,2
59412,194
79170,8
67884,36
96084,20
73968,5
62742,5
93192,26
100440,17
70488,14
63456,12
65646,51
162012,11
185364,3
70488,219
63672,35
70488,169
79926,107
62742,107
90456,23
82152,9
93708,6
63456,13
93816,225
102564,225
93648,225
64926,19
72810,4
104628,216
93648,112
104628,35
61518,35
87420,217
74946,35
73968,17
87372,132
72480,8
73968,13
72810,13
63672,2
76446,7
102564,35
70296,215
82152,178
90432,221
74946,25
109278,24
99444,15
96084,17
93648,4
71700,30
72480,192
80400,30
63672,9
61518,83
70656,200
97044,30
170112,26
185364,17
67920,10
74946,2
172452,9
176532,5
72810,4
76446,4
79170,106
73116,215
162012,24
72516,225
97044,136
69270,23
102978,11
91446,10
77580,201
70488,171
93648,136
73968,30
84876,25
70488,13
65646,16
151896,26
83214,4
68262,17
82152,148
63672,93
72516,10
79170,8
80778,83
98184,131
83214,2
73968,4
92718,9
84396,225
84858,25
71700,7
93708,18
76446,17
102564,3
63456,215
99444,10
87534,212
93648,14
102564,119
99444,228
97212,221
88044,3
79134,225
70488,218
96084,206
93648,171
148356,19
176532,11
83214,7
63456,5
79170,22
79980,20
87780,11
61518,10
96648,2
84876,268
101442,11
65646,36
83916,208
72516,36
87420,35
74946,11
61518,10
87372,10
89946,9
58572,5
73968,144
90960,3
65646,18
111474,193
96084,20
91404,20
67884,18
148356,12
69270,218
73968,3
84396,17
74946,225
85584,20
70488,12
74178,23
75726,13
84756,2
102564,11
90540,26
111474,5
107988,25
64926,25
83916,2
68262,26
74628,216
72726,26
87294,10
70488,18
72480,25
102564,219
74946,4
97212,30
67920,23
63456,34
96648,21
93588,20
65646,8
72810,5
85818,80
73116,80
75102,11
162012,20
67884,212
70488,14
102564,232
71700,208
72480,202
81900,172
86142,80
80400,107
74946,25
79926,22
67884,17
70488,16
93648,83
67920,10
72516,8
103590,7
81900,4
67884,3
80400,30
74946,3
87534,68
58572,18
87372,16
89562,212
64662,13
74946,19
97044,10
70488,168
90960,8
81900,22
70656,20
76446,20
72480,3
72480,116
63456,19
84570,153
61518,5
74178,215
83214,107
74946,18
75102,212
63654,189
84876,155
68166,152
63672,152
74946,152
65868,152
127278,171
155052,136
79170,36
86142,80
83214,51
104628,42
72810,36
58572,31
73968,30
68166,30
77580,30
73968,21
90456,21
65646,20
79134,19
82152,17
101442,16
84858,16
102564,15
65646,16
87534,12
82152,8
76764,7
105864,7
65868,7
102564,4
83220,4
83214,4
79134,4
90960,3
85818,3
79170,208
79980,131
80400,18
82746,15
91446,30
101442,10
70488,3
79134,20
93708,155
70488,235
93648,12
62742,11
81900,152
90456,13
104628,30
93708,212
93192,11
84876,9
71700,26
73968,15
87372,182
105864,83
96648,7
96648,208
90540,15
101442,115
93648,10
81090,142
69270,5
84876,218
104628,75
65868,21
72810,13
90432,11
102564,141
67920,7
75726,6
81900,5
82746,3
76446,11
102564,10
84756,6
86520,12
80400,21
84876,118
74946,53
101442,20
99444,17
104628,8
74946,13
80400,16
67920,93
185364,30
87420,10
84858,23
102564,21
99888,19
101442,18
90456,15
104628,208
74946,3
60600,221
58572,36
80544,30
73968,30
99444,30
99888,7
93708,25
74946,19
93708,12
70488,11
93648,11
111474,171
77580,11
71700,8
67884,218
76446,23
93708,16
73116,2
70296,35
73116,4
93708,20
76446,35
72480,15
63672,15
148356,15
147936,31
83214,4
134400,136
139104,53
84876,3
92718,2
99444,30
93648,149
70488,30
71700,171
127278,21
163680,225
102564,221
80400,221
76446,221
72516,119
82152,18
70488,181
72810,26
90432,215
104628,9
63456,9
87420,4
63672,179
83214,35
84018,21
83616,8
65646,11
63456,155
93648,83
87372,19
70488,119
83916,112
101442,3
82152,16
70488,35
93708,117
73968,4
93708,26
65646,178
93708,30
77580,5
78006,35
74946,16
107988,12
70488,8
93648,10
76446,9
63456,8
