rank,last_unit_id
9171-Sergeant Of Police,17
9171-Sergeant Of Police,215
9171-Sergeant Of Police,194
9171-Sergeant Of Police,218
9171-Sergeant Of Police,26
9171-Sergeant Of Police,21
9165-Po As Detective,17
9165-Po As Detective,152
9165-Po As Detective,117
9165-Po As Detective,93
9165-Po As Detective,215
9165-Po As Detective,204
9161-Police Officer,35
9171-Sergeant Of Police,35
9171-Sergeant Of Police,7
9171-Sergeant Of Police,8
9161-Police Officer,20
9165-Po As Detective,18
9165-Po As Detective,18
9161-Police Officer,218
9161-Police Officer,5
9161-Police Officer,107
9161-Police Officer,18
9161-Police Officer,17
9161-Police Officer,12
9161-Police Officer,9
9161-Police Officer,225
9165-Po As Detective,10
9165-Po As Detective,35
9161-Police Officer,50
9161-Police Officer,14
9161-Police Officer,215
9161-Police Officer,225
9161-Police Officer,7
9161-Police Officer,25
9161-Police Officer,5
9161-Police Officer,142
9161-Police Officer,35
9161-Police Officer,19
9161-Police Officer,17
9161-Police Officer,25
9161-Police Officer,9
9161-Police Officer,182
9161-Police Officer,30
9161-Police Officer,2
9161-Police Officer,20
9161-Police Officer,19
9161-Police Officer,18
9173-Lieutenant Of Police,83
9173-Lieutenant Of Police,17
9173-Lieutenant Of Police,25
9173-Lieutenant Of Police,16
9161-Police Officer,15
9161-Police Officer,14
9161-Police Officer,221
9161-Police Officer,12
9161-Police Officer,11
9161-Police Officer,11
9161-Police Officer,11
9161-Police Officer,11
9161-Police Officer,7
9165-Po As Detective,2
9165-Po As Detective,180
9161-Police Officer,35
9161-Police Officer,2
9161-Police Officer,25
9161-Police Officer,5
9161-Police Officer,225
9161-Police Officer,35
9161-Police Officer,31
9161-Police Officer,11
9161-Police Officer,15
9161-Police Officer,11
9161-Police Officer,21
9161-Police Officer,14
9161-Police Officer,10
9161-Police Officer,5
9161-Police Officer,19
9165-Po As Detective,8
9161-Police Officer,179
9161-Police Officer,18
9161-Police Officer,221
9161-Police Officer,133
9161-Police Officer,115
9161-Police Officer,138
9161-Police Officer,105
9161-Police Officer,80
9161-Police Officer,3
9161-Police Officer,225
9161-Police Officer,221
9161-Police Officer,221
9161-Police Officer,208
9161-Police Officer,221
9161-Police Officer,200
9161-Police Officer,170
9161-Police Officer,134
9161-Police Officer,80
9161-Police Officer,45
9161-Police Officer,31
9161-Police Officer,30
9161-Police Officer,30
9161-Police Officer,30
9161-Police Officer,8
9161-Police Officer,24
9161-Police Officer,18
9161-Police Officer,17
9161-Police Officer,17
9161-Police Officer,16
9161-Police Officer,13
9161-Police Officer,12
9161-Police Officer,10
9161-Police Officer,8
9161-Police Officer,6
9161-Police Officer,6
9161-Police Officer,145
9161-Police Officer,3
9161-Police Officer,3
9161-Police Officer,2
9161-Police Officer,194
9161-Police Officer,8
9161-Police Officer,36
9161-Police Officer,20
9161-Police Officer,5
9161-Police Officer,5
9161-Police Officer,26
9161-Police Officer,17
9161-Police Officer,14
9161-Police Officer,12
9161-Police Officer,51
9161-Police Officer,11
9161-Police Officer,3
9161-Police Officer,219
9161-Police Officer,35
9161-Police Officer,169
9161-Police Officer,107
9161-Police Officer,107
9161-Police Officer,23
9161-Police Officer,9
9161-Police Officer,6
9161-Police Officer,13
9161-Police Officer,225
9161-Police Officer,225
9161-Police Officer,225
9161-Police Officer,19
9161-Police Officer,4
