id,last_unit_id
32312,151
32358,151
2680,83
1791,53
18597,146
7512,10
23825,2
16776,3
21044,18
18181,17
390,17
13463,221
3183,69
19816,69
760,21
3798,16
31804,152
6233,122
8175,80
9534,80
25219,80
15636,80
3613,80
31793,153
4022,80
6533,212
32005,153
32080,152
32188,153
4371,17
2212,18
2379,252
30482,80
32308,149
27908,80
2642,80
32434,153
32263,153
32036,153
20232,30
2735,80
32113,151
11226,80
6785,80
16144,80
17891,80
21090,80
23034,80
6774,80
11676,80
14457,80
3304,80
13065,104
32144,151
32371,151
32448,19
23853,69
30185,80
5451,80
26309,80
28428,80
31990,152
30985,80
9047,200
22404,18
27563,130
24857,148
16432,153
1614,212
23675,198
4996,14
17468,69
1403,44
32340,106
6642,22
32446,208
1983,19
5191,21
26911,136
21901,8
6244,8
10065,7
29724,128
29291,106
31546,24
21289,26
19074,208
29734,9
20287,16
9575,11
11547,4
7467,85
20808,3
13161,19
32445,6
16121,6
26239,19
16949,225
5796,5
3225,3
4359,123
18397,198
16992,200
20953,198
31515,198
1847,15
30201,4
31241,258
21037,96
1903,7
16974,61
4148,2
9946,24
15515,194
14259,107
23845,123
1727,2
2481,3
3147,3
3204,9
5275,7
6300,40
7087,123
9320,59
9321,12
11623,7
12397,9
15366,8
16080,19
17301,123
18666,20
18880,18
21046,12
22379,16
23284,35
23575,59
31572,140
19078,152
5363,14
17670,111
13925,9
14209,6
19719,127
9916,229
12466,4
3279,17
24941,7
19493,11
23453,7
19144,16
7226,7
178,192
28175,22
11918,7
3026,7
7870,16
6664,25
9328,11
2485,9
25373,5
7328,11
545,4
29214,4
1640,18
26003,10
4166,26
2311,8
25876,7
29778,20
24431,11
4254,26
16825,20
14154,11
10487,25
2413,26
4668,7
24496,10
14669,7
10008,15
4435,11
11059,11
19389,26
14962,9
1901,7
18226,13
6686,9
21069,9
14928,10
30111,7
13276,25
4681,16
7427,24
7978,12
18535,26
31699,13
7930,7
19814,23
3760,10
4184,16
17478,26
19091,24
812,16
21205,20
4696,20
13855,6
1590,7
22364,25
962,15
9427,14
7380,83
29105,83
12881,6
9162,5
15959,23
23965,191
17534,142
27811,181
13693,171
25870,11
12538,181
28454,8
7565,10
18391,4
22832,171
21951,3
27024,191
7174,191
11144,191
696,181
15946,2
23881,191
22989,181
22764,191
12009,191
3254,171
10298,171
16767,171
31419,191
13759,8
18366,191
21836,191
10699,171
31176,191
25570,25
17054,181
10952,181
15609,181
28534,3
16869,181
11388,18
18326,181
18813,181
5105,171
15381,181
8892,181
17735,191
18186,191
12594,4
8468,191
31611,181
13477,191
26698,181
6773,191
3123,181
22988,181
12769,181
30965,3
524,181
11286,191
9610,191
12274,22
13476,191
28019,20
30288,88
17954,69
12252,69
17710,141
5287,141
6021,141
19887,38
585,141
29319,141
11049,38
25588,38
11109,141
3746,38
30702,141
5368,3
2171,38
9734,141
16316,141
1300,141
27478,141
6961,140
15043,141
5648,141
21576,141
1291,141
19756,141
14090,141
16066,141
20004,141
14182,141
10780,141
13155,141
29555,141
15068,141
10427,141
19455,141
16996,141
13486,141
15024,141
27235,141
2260,141
11579,141
4586,141
3222,141
2511,141
31475,141
15890,141
12368,141
28901,141
7695,141
6002,141
11203,141
13442,141
7844,141
23474,141
5776,141
22470,141
17207,141
10586,141
31334,141
8979,141
27225,141
30457,141
9990,141
12875,141
755,141
4725,141
13988,141
31702,2
9902,141
3480,170
10636,8
25519,141
11956,170
30870,3
15816,170
14906,170
11487,170
24860,170
15916,170
6435,170
22594,141
17459,170
13671,170
12988,141
2776,141
9925,80
25261,80
12014,105
23012,105
8674,105
7011,112
21053,112
16983,105
31115,105
8888,105
22349,105
24279,105
10713,105
2091,105
13489,105
16822,105
29253,15
29929,17
24201,142
26715,142
19022,142
3944,142
5104,142
15120,142
7520,142
30063,193
13400,194
11485,193
5647,194
22446,193
25386,193
10822,193
16994,193
18913,193
31161,193
2801,193
15005,142
787,35
29684,225
24785,9
3537,228
5209,35
12311,36
15337,21
21281,14
10215,8
16712,210
9492,93
25009,85
1243,10
4497,7
28983,117
20817,212
11002,107
29892,215
13955,2
6902,7
2834,14
9198,5
4952,6
14629,7
1892,85
11105,2
5799,5
20336,4
20957,19
23942,20
14470,24
14126,6
9079,25
5322,19
6634,18
18115,2
5213,199
27125,85
28513,12
2590,124
9369,18
17698,26
25880,6
10734,12
3794,218
20545,15
22853,6
30455,2
8567,15
11983,15
6805,9
12692,10
31744,42
19809,85
26029,6
29442,30
7468,8
3831,20
30320,180
25740,13
23163,6
14376,31
16496,158
12468,3
16390,6
10029,20
21989,6
8127,105
28514,11
31554,8
8651,25
1474,21
31098,208
632,10
6058,7
18379,208
23953,6
31133,198
4876,4
18234,14
5404,23
3720,13
6346,6
30946,11
21039,26
5869,17
3127,7
682,9
17775,12
30910,2
16963,20
25998,2
14519,23
29183,11
16419,24
29935,13
23395,6
13624,5
25873,9
7431,11
9850,8
16000,3
14396,11
24188,5
23979,6
15436,5
7552,208
12867,16
6358,4
22493,42
16307,83
17977,6
14337,13
10561,152
28374,22
31111,24
23811,11
1211,7
3002,11
9075,131
13003,10
22823,149
13644,3
25514,2
6977,7
19585,183
23115,18
6138,11
10373,23
16203,194
25795,20
8846,2
25136,11
24721,177
25837,14
25694,36
23876,3
8776,106
8944,7
2144,2
11960,51
17176,11
11557,2
10140,2
15604,15
6027,21
7507,107
13290,85
22042,225
8948,9
1157,208
10426,9
959,8
19827,17
25730,17
138,169
7074,24
8553,26
29370,22
16981,11
6912,22
6967,140
9899,225
21393,17
31637,15
20970,10
17348,83
30437,25
18220,17
6495,26
31618,18
21932,26
568,16
31668,17
29173,26
8629,8
30714,79
23025,11
22334,11
14997,20
22715,20
23977,13
4723,225
14673,4
8843,11
31478,5
25543,22
814,35
21123,21
8622,17
5566,20
23715,17
24873,5
24892,105
15225,5
6441,26
20011,86
27841,17
31090,18
26971,85
23873,5
26555,25
28746,25
11819,4
23803,85
18404,24
19577,13
25358,107
22038,15
31068,225
4777,20
1558,18
6567,17
18782,26
24053,24
9814,20
2057,23
14204,10
8907,17
16989,7
14237,23
14624,23
27452,18
20116,23
31004,13
1828,21
3617,16
5058,10
20938,7
20167,18
28437,20
8542,131
10279,14
26861,4
30032,9
17839,8
13202,17
7938,5
9334,9
5644,11
4781,10
18612,10
20747,20
27014,17
22886,35
17344,5
6970,20
25875,8
26337,10
16387,20
22914,14
10463,20
2737,4
20927,17
16589,4
11033,96
14506,218
30443,208
18488,212
4731,80
10616,145
27553,198
17393,107
5629,2
6413,79
22756,225
12858,11
24815,149
25117,11
6693,11
15992,11
719,225
2782,80
11786,225
29890,225
13060,136
4294,7
8837,19
27499,21
21499,9
17228,3
21927,85
19292,23
3758,16
29615,18
9100,20
2119,119
24189,4
12310,12
29341,16
698,2
21093,12
14315,10
27610,19
17266,107
10650,23
9488,24
13901,3
31914,153
9503,25
5742,6
5974,25
2398,136
30439,21
30359,16
3963,9
1979,218
29801,225
8520,225
28859,80
18248,80
10597,16
19290,132
11867,7
27488,21
2178,35
13885,148
12179,6
11693,3
24257,6
14263,22
26954,18
15135,10
12767,2
20840,9
29549,21
25747,25
24132,10
3580,22
25251,26
24835,206
6790,14
14406,9
756,19
22447,85
9055,7
25999,18
29497,17
15750,7
28566,118
11680,221
6921,208
7764,112
25579,19
16959,25
23647,212
10966,178
12919,168
20726,19
3551,3
8619,25
13667,4
8839,16
17255,208
18400,85
27437,13
18354,6
15572,21
11596,2
28166,3
6218,2
7703,9
5175,55
11266,173
25684,75
20204,17
24,17
10941,6
22695,26
22800,18
5036,26
7599,24
16005,20
31128,23
18396,206
21438,16
8285,23
14332,12
21504,14
3911,25
10819,88
25690,24
25687,19
21735,6
26074,18
25725,14
1605,7
2192,3
14012,19
7706,25
21259,38
22746,10
4026,22
2868,25
4511,106
8321,200
17141,36
20591,24
11241,10
10603,153
13966,14
22733,13
3841,16
1287,119
8327,24
20800,13
14904,3
27939,35
13761,8
10180,17
1670,17
616,18
4832,26
13763,7
10220,7
9974,21
7412,19
11839,25
718,14
18147,8
14497,26
29798,18
3717,4
23316,14
11927,24
9737,142
18674,12
14858,12
21485,18
23998,14
28524,6
18939,200
25059,215
20486,221
28065,2
5076,2
14416,2
18207,2
9923,85
27201,138
22924,15
27902,3
18190,9
6791,13
27313,85
29419,16
2366,15
6711,12
10779,149
2698,15
21134,35
7406,9
25836,15
22652,9
18089,12
5978,149
11715,153
19489,13
11153,3
17288,85
9277,35
434,115
8806,6
29629,3
14322,9
22587,13
9668,15
4023,31
20106,15
25002,118
2204,16
7577,13
29334,9
18496,118
1406,12
8721,12
16924,6
31182,117
24700,15
2237,85
2963,82
25268,22
20101,146
18247,85
25583,22
26123,53
21785,85
13860,142
8502,215
7592,172
25757,225
14082,194
12970,136
728,107
30478,130
10985,107
1279,215
23642,208
26739,85
21608,146
13969,130
733,107
30307,112
30271,117
14225,141
9980,105
21815,85
22003,83
26732,114
11263,115
8266,107
16995,146
2831,22
10,93
11791,146
9063,107
15410,112
1500,22
19179,222
8312,130
5635,213
14783,82
14386,22
25735,141
7794,117
10067,105
20778,85
2548,137
28933,93
5376,85
18344,229
16418,85
8441,93
27590,141
29758,105
590,85
949,189
13990,189
7384,200
6403,200
20826,200
24590,200
18431,200
27644,189
2938,200
11889,200
22591,200
14491,200
20578,200
11066,200
1459,200
20418,200
22368,200
1479,200
2888,200
8915,189
11420,189
30326,200
3741,200
11484,200
4913,117
12721,142
20386,142
23299,145
23884,90
19359,70
24225,90
22372,145
30708,107
30461,69
23433,90
6474,107
4729,90
4513,70
30701,145
17139,145
11497,90
31996,175
32191,6
32305,149
32116,11
32029,149
32041,153
32232,9
32297,149
31986,149
32400,175
31821,12
31837,183
31839,149
31872,149
31873,10
31883,152
31913,183
31922,149
31967,25
31971,153
31974,153
31997,149
32006,4
32015,149
32059,183
32073,152
32076,149
32079,10
32082,175
32083,149
32210,20
32214,19
32255,149
32266,149
32279,11
32286,149
32374,4
32101,16
32298,19
31822,183
32262,149
32199,149
32151,149
32311,152
31849,151
31977,152
32013,149
32092,152
32124,152
31800,151
31830,149
32031,151
31851,149
32140,149
20015,35
18410,8
20684,10
9657,25
22322,14
1064,118
10782,117
24486,30
6633,19
8114,225
30351,3
3169,3
29006,30
9938,26
3031,6
23361,112
32132,149
14472,19
14721,5
3820,2
28560,2
27422,194
17815,11
8088,5
27986,10
28596,30
14849,30
7469,21
20869,30
24832,30
10675,30
29357,30
31187,30
12320,30
9051,18
19373,11
741,20
9078,25
14892,4
21720,4
15166,25
26860,4
27051,19
30068,21
18081,24
11174,5
15782,5
18144,25
19840,17
25453,17
55,14
2308,10
9303,25
16723,16
1682,30
6000,2
7283,2
10786,30
11205,134
24982,225
18079,30
10827,30
13092,11
8456,105
31757,15
29576,30
5324,16
13864,30
26801,15
18975,9
25496,2
15847,172
25593,234
12161,4
28256,8
1196,136
28139,21
26813,12
28685,12
1447,35
19212,35
7532,3
23419,15
8687,19
10843,35
11987,8
22134,12
17025,9
15869,20
20350,31
12114,30
9060,5
9420,20
14710,17
12734,19
5611,35
14408,8
27337,13
6529,19
