rank,star,status,status_datetime,officer_id,trr_id
OFFICER,4502,,2015-12-27 11:53:00 AM,23701,92925
SERGEANT,1543,,2015-12-27 12:02:00 AM,3785,83966
LIEUTENANT,330,,2015-12-27 02:36:00 AM,27736,64633
OFFICER,17679,,2015-12-27 11:49:00 AM,29341,26541
SERGEANT,1543,,2015-12-27 11:50:00 AM,3785,83966
LIEUTENANT,330,,2015-12-27 02:36:00 AM,27736,64633
OFFICER,18637,,2015-12-27 02:31:00 AM,23620,94928
OFFICER,8277,,2015-12-27 01:38:00 AM,12353,86608
LIEUTENANT,495,,2015-12-27 02:04:00 AM,1097,40499
OFFICER,11321,,2015-12-27 06:24:00 AM,4252,87829
LIEUTENANT,537,,2015-12-27 09:25:00 AM,21309,80370
CAPTAIN,93,,2015-12-27 09:26:00 AM,6224,92419
CAPTAIN,93,,2015-12-27 09:41:00 AM,6224,92419
OFFICER,3909,,2015-12-27 12:18:00 AM,10152,80532
OFFICER,11393,,2015-12-27 12:32:00 AM,1804,95432
OFFICER,4733,,2015-12-27 08:45:00 AM,32194,64643
LIEUTENANT,556,,2015-12-27 08:56:00 AM,24562,2935
OFFICER,14953,,2015-12-27 08:54:00 AM,32400,52636
OFFICER,11069,,2015-12-27 08:56:00 AM,15230,5054
OFFICER,9936,,2015-12-27 11:33:00 AM,15456,81078
LIEUTENANT,199,,2015-12-27 12:00:00 AM,14630,13289
OFFICER,11186,,2015-12-27 11:36:00 AM,23494,81254
OFFICER,10773,,2015-12-27 11:10:00 AM,28367,87201
LIEUTENANT,199,,2015-12-27 11:53:00 AM,14630,13289
OFFICER,17733,,2015-12-27 12:11:00 AM,32408,82925
SERGEANT,1486,,2015-12-27 12:18:00 AM,32067,4758
LIEUTENANT,199,,2015-12-27 02:02:00 AM,14630,13289
OFFICER,5882,,2015-12-27 12:49:00 AM,32122,83780
SERGEANT,1486,,2015-12-27 12:52:00 AM,32067,4758
LIEUTENANT,199,,2015-12-27 01:59:00 AM,14630,13289
OFFICER,17733,,2015-12-27 12:18:00 AM,32408,82925
SERGEANT,1486,,2015-12-27 12:19:00 AM,32067,4758
LIEUTENANT,199,,2015-12-27 02:03:00 AM,14630,13289
OFFICER,5882,,2015-12-27 12:33:00 AM,32122,83780
SERGEANT,1486,,2015-12-27 12:38:00 AM,32067,4758
LIEUTENANT,199,,2015-12-27 01:57:00 AM,14630,13289
OFFICER,11974,,2015-12-27 01:52:00 AM,25098,82763
SERGEANT,1841,,2015-12-27 01:53:00 AM,9309,81107
OFFICER,10135,,2015-12-27 04:49:00 AM,22383,25098
SERGEANT,1088,,2015-12-27 04:52:00 AM,25580,8627
OFFICER,19643,,2015-12-27 04:50:00 AM,19195,95127
SERGEANT,1088,,2015-12-27 04:51:00 AM,25580,8627
SERGEANT,1088,,2015-12-27 04:50:00 AM,25580,8627
OFFICER,7594,,2015-12-27 04:50:00 AM,18752,83225
SERGEANT,1088,,2015-12-27 04:51:00 AM,25580,8627
OFFICER,3527,,2015-12-27 05:36:00 AM,9986,83367
SERGEANT,1836,,2015-12-27 05:51:00 AM,3017,83665
CAPTAIN,93,,2015-12-27 06:17:00 AM,6224,92419
SERGEANT,1836,,2015-12-27 06:10:00 AM,3017,83665
CAPTAIN,93,,2015-12-27 06:18:00 AM,6224,92419
OFFICER,16153,,2015-12-27 06:07:00 AM,7963,91876
OFFICER,17150,,2015-12-27 06:50:00 AM,15767,25596
SERGEANT,1595,,2015-12-27 06:52:00 AM,32200,26968
OFFICER,8420,,2015-12-27 06:54:00 AM,29529,87809
SERGEANT,1595,,2015-12-27 06:54:00 AM,32200,26968
OFFICER,15400,,2015-12-27 11:07:00 AM,24831,80352
OFFICER,7718,,2015-12-27 01:06:00 AM,9727,57353
OFFICER,14008,,2015-12-27 01:05:00 AM,16,39592
OFFICER,16142,,2015-12-27 01:19:00 AM,13828,39996
OFFICER,17702,,2015-12-27 01:56:00 AM,13437,82367
SERGEANT,1093,,2015-12-27 01:50:00 AM,3716,4979
OFFICER,19146,,2015-12-27 02:01:00 AM,23725,5556
OFFICER,11974,,2015-12-27 03:15:00 AM,25098,82763
SERGEANT,1841,,2015-12-27 03:34:00 AM,9309,81107
OFFICER,9565,,2015-12-27 03:27:00 AM,2676,87207
SERGEANT,1841,,2015-12-27 03:28:00 AM,9309,81107
SERGEANT,1841,,2015-12-27 04:00:00 AM,9309,81107
SERGEANT,1061,,2015-12-27 11:54:00 AM,10800,80447
OFFICER,13832,,2015-12-27 05:01:00 AM,451,87610
OFFICER,15937,,2015-12-27 03:48:00 AM,1283,87181
OFFICER,8496,,2015-12-27 03:53:00 AM,27669,80086
SERGEANT,1080,,2015-12-27 04:15:00 AM,31921,7214
OFFICER,10642,,2015-12-27 04:04:00 AM,8103,81149
SERGEANT,1080,,2015-12-27 04:14:00 AM,31921,7214
OFFICER,19511,,2015-12-27 04:04:00 AM,16032,93107
SERGEANT,1080,,2015-12-27 04:16:00 AM,31921,7214
OFFICER,4546,,2015-12-27 04:37:00 AM,29676,83193
SERGEANT,1080,,2015-12-27 05:14:00 AM,31921,7214
OFFICER,13089,,2015-12-27 05:18:00 AM,4659,92127
SERGEANT,2594,,2015-12-27 05:50:00 AM,24572,80888
OFFICER,6626,,2015-12-27 05:22:00 AM,24883,83481
SERGEANT,1080,,2015-12-27 05:57:00 AM,31921,7214
SERGEANT,1308,,2015-12-27 07:05:00 AM,12048,91581
SERGEANT,1308,,2015-12-27 07:11:00 AM,12048,91581
OFFICER,13259,,2015-12-27 07:44:00 AM,7028,65376
SERGEANT,2287,,2015-12-27 07:45:00 AM,22229,95422
OFFICER,18267,,2015-12-27 07:52:00 AM,1323,82940
SERGEANT,2287,,2015-12-27 07:53:00 AM,22229,95422
OFFICER,10766,,2015-12-27 03:36:00 AM,2852,90481
OFFICER,5327,,2015-12-27 03:48:00 AM,1616,95837
OFFICER,18529,,2015-12-27 05:03:00 AM,27994,87463
SERGEANT,2184,,2015-12-27 05:05:00 AM,4030,58707
OFFICER,4498,,2015-12-27 05:26:00 AM,12351,86679
SERGEANT,1345,,2015-12-27 05:44:00 AM,4588,68630
SERGEANT,2108,,2015-12-27 05:26:00 AM,17300,41279
OFFICER,18517,,2015-12-27 07:22:00 AM,13350,7778
OFFICER,4515,,2015-12-27 07:33:00 AM,7886,78126
OFFICER,14227,,2015-12-27 07:57:00 AM,4168,86675
OFFICER,16153,,2015-12-27 11:18:00 AM,7963,91876
OFFICER,15982,,2015-12-27 11:22:00 AM,18957,91912
OFFICER,15498,,2015-12-27 11:29:00 AM,8690,92233
OFFICER,13190,,2015-12-27 12:45:00 AM,21766,80866
SERGEANT,2020,,2015-12-27 12:47:00 AM,11007,87050
LIEUTENANT,537,,2015-12-27 12:57:00 AM,21309,80370
OFFICER,18813,,2015-12-27 01:34:00 AM,25311,85655
LIEUTENANT,172,,2015-12-27 01:57:00 AM,7039,11660
OFFICER,9220,,2015-12-27 03:58:00 AM,10505,81212
LIEUTENANT,330,,2015-12-27 04:08:00 AM,27736,64633
OFFICER,19328,,2015-12-27 08:12:00 AM,5571,87821
SERGEANT,1794,,2015-12-27 08:20:00 AM,20385,8714
OFFICER,5968,,2015-12-27 10:47:00 AM,16291,83232
SERGEANT,1068,,2015-12-27 11:06:00 AM,4636,79015
LIEUTENANT,183,,2015-12-27 12:26:00 AM,20125,66578
OFFICER,6245,,2015-12-27 01:10:00 AM,9322,83018
SERGEANT,1182,,2015-12-27 01:20:00 AM,5204,26951
LIEUTENANT,183,,2015-12-27 01:29:00 AM,20125,66578
OFFICER,7917,,2015-12-27 02:14:00 AM,12038,39670
SERGEANT,2029,,2015-12-27 02:15:00 AM,31030,80066
OFFICER,15583,,2015-12-27 04:27:00 AM,13574,23344
SERGEANT,1811,,2015-12-27 04:52:00 AM,14245,70066
LIEUTENANT,330,,2015-12-27 05:12:00 AM,27736,64633
OFFICER,15701,,2015-12-27 05:18:00 AM,14278,86503
OFFICER,14867,,2015-12-27 08:41:00 AM,4568,91292
OFFICER,6211,,2015-12-27 11:28:00 AM,9281,83923
OFFICER,13218,,2015-12-27 11:29:00 AM,13790,89495
OFFICER,12078,,2015-12-27 02:27:00 AM,24679,92383
OFFICER,13663,,2015-12-27 02:27:00 AM,14103,92384
OFFICER,16100,,2015-12-27 03:29:00 AM,22282,72968
OFFICER,18800,,2015-12-27 06:13:00 AM,1652,83567
OFFICER,12734,,2015-12-27 05:59:00 AM,22573,92528
OFFICER,19191,,2015-12-27 06:08:00 AM,30009,86741
OFFICER,14321,,2015-12-27 06:52:00 AM,11897,92838
OFFICER,19737,,2015-12-27 09:59:00 AM,22223,90046
LIEUTENANT,497,,2015-12-27 06:02:00 AM,18055,57829
OFFICER,17140,,2015-12-27 09:38:00 AM,14550,90028
LIEUTENANT,497,,2015-12-27 06:00:00 AM,18055,57829
OFFICER,14620,,2015-12-27 01:34:00 AM,25518,92323
SERGEANT,1400,,2015-12-27 01:35:00 AM,6254,67953
OFFICER,12531,,2015-12-27 02:29:00 AM,25789,92196
SERGEANT,1864,,2015-12-27 03:33:00 AM,27448,87764
OFFICER,4611,,2015-12-27 02:24:00 AM,10514,96116
SERGEANT,1864,,2015-12-27 02:25:00 AM,27448,87764
OFFICER,18529,,2015-12-27 02:52:00 AM,27994,87463
SERGEANT,1864,,2015-12-27 02:55:00 AM,27448,87764
OFFICER,18255,,2015-12-27 02:52:00 AM,23429,90228
SERGEANT,1864,,2015-12-27 02:55:00 AM,27448,87764
OFFICER,12313,,2015-12-27 01:55:00 AM,27084,59756
SERGEANT,1864,,2015-12-27 02:23:00 AM,27448,87764
